code,count_full,share_full,severity_full,prox_weight_full,opp_score_full,count_excl,share_excl,severity_excl,prox_weight_excl,opp_score_excl,opp_rank_full,opp_rank_excl,share_change_pp
BLOCK_SIZE_SELECTION,68,18.085106382978726,3.3823529411764706,1.3161764705882353,80.51079474342929,66,22.602739726027394,3.378787878787879,1.3257575757575757,101.24792444997922,1,1,4.517633343048669
BLOCK_CHART_UNRELIABLE,16,4.25531914893617,3.25,0.84375,11.668882978723403,14,4.794520547945205,3.2142857142857144,0.8214285714285714,12.659001956947161,8,8,0.539201399009035
BLOCK_BODY_PROJECTION,20,5.319148936170213,3.1,0.8,13.191489361702128,16,5.47945205479452,3.0,0.8125,13.356164383561643,7,6,0.16030311862430757
BLOCK_LISTING_INCOMPLETE,70,18.617021276595743,2.657142857142857,1.05,51.941489361702125,65,22.26027397260274,2.6153846153846154,1.0692307692307692,62.249736564805055,2,2,3.6432526960069964
BLOCK_FABRIC_QUALITY,34,9.042553191489363,2.7941176470588234,0.8676470588235294,21.92193366708386,31,10.616438356164384,2.7419354838709675,0.9032258064516129,26.292532037118864,4,3,1.573885164675021
BLOCK_DURABILITY_VALUE,29,7.712765957446808,3.1379310344827585,0.7586206896551724,18.360234776228904,21,7.191780821917808,3.0476190476190474,0.7619047619047619,16.69928245270711,5,5,-0.520985135529
BLOCK_IMAGE_DISTRUST,17,4.521276595744681,3.2941176470588234,0.7352941176470589,10.951188986232793,16,5.47945205479452,3.375,0.71875,13.291952054794521,9,7,0.9581754590498388
BLOCK_REVIEW_DISTRUST,4,1.0638297872340425,2.75,0.875,2.559840425531915,4,1.36986301369863,2.75,0.875,3.296232876712329,14,12,0.3060332264645875
BLOCK_AUTHENTICITY,5,1.3297872340425532,3.2,0.8,3.404255319148936,5,1.7123287671232876,3.2,0.8,4.383561643835617,13,11,0.38254153308073446
BLOCK_ANTICIPATED_NONUSE,18,4.787234042553192,3.0,0.6666666666666666,9.574468085106384,1,0.3424657534246575,2.0,0.5,0.3424657534246575,11,14,-4.444768289128534
BLOCK_WARDROBE_SATURATION,37,9.840425531914894,3.27027027027027,0.8108108108108109,26.092581943645772,4,1.36986301369863,3.0,0.625,2.5684931506849313,3,13,-8.470562518216264
BLOCK_STYLING,29,7.712765957446808,2.8275862068965516,0.8275862068965517,18.04842259721203,22,7.534246575342466,2.772727272727273,0.8863636363636364,18.516500622665006,6,4,-0.17851938210434248
BLOCK_CHOICE_COMPARISON,15,3.9893617021276597,2.466666666666667,1.0666666666666667,10.49645390070922,13,4.4520547945205475,2.3846153846153846,1.0384615384615385,11.02476290832455,10,10,0.4626930923928878
BLOCK_SOCIAL_VALIDATION,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15,0.0
BLOCK_RETURN_FRICTION,14,3.723404255319149,3.9285714285714284,0.6071428571428571,8.881079027355621,14,4.794520547945205,3.9285714285714284,0.6071428571428571,11.435909980430527,12,9,1.0711162926260562
